size,Triton (GB/s),Torch (GB/s)
4096.000000,12.000000,12.000000
8192.000000,19.819355,24.000000
16384.000000,38.400001,38.400001
32768.000000,79.022509,76.800002
65536.000000,147.161672,127.999995
131072.000000,219.428568,219.428568
262144.000000,341.333321,341.333321
524288.000000,438.857137,438.857137
1048576.000000,491.520012,491.520012
2097152.000000,546.133325,546.133325
4194304.000000,571.534884,571.534884
8388608.000000,599.414644,599.414644
16777216.000000,616.325993,616.325993
33554432.000000,625.750886,625.144658
67108864.000000,630.153868,629.759631
134217728.000000,632.195957,632.434238
